,hospital_code,hospital_name,date_month,triage_cat,emergency_attendances,median_waiting_min,color_code,number_within_time,percent_within_time,number_not_wait,percent_not_wait,number_inbed,percent_inbed,empty,number_inbed_within_4,percent_inbed_within_4
864,152,Barcaldine Hospital,2022-09-01,5,15,0.0,1,13,100.0,1,7.0,0,0.0,-,0,
865,153,Blackall Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
866,153,Blackall Hospital,2022-09-01,2,3,0.0,0,3,100.0,0,0.0,3,100.0,-,3,100.0
867,153,Blackall Hospital,2022-09-01,3,9,0.0,0,8,89.0,0,0.0,0,0.0,-,0,
868,153,Blackall Hospital,2022-09-01,4,20,0.0,1,20,100.0,0,0.0,3,15.0,-,3,100.0
869,153,Blackall Hospital,2022-09-01,5,20,0.0,1,19,100.0,0,0.0,0,0.0,-,0,
870,156,Longreach Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
871,156,Longreach Hospital,2022-09-01,2,14,0.0,1,13,93.0,0,0.0,5,36.0,-,3,60.0
872,156,Longreach Hospital,2022-09-01,3,71,5.0,1,67,96.0,0,0.0,7,10.0,-,4,57.0
873,156,Longreach Hospital,2022-09-01,4,120,8.0,1,114,99.0,3,3.0,3,3.0,-,2,67.0
874,156,Longreach Hospital,2022-09-01,5,70,11.0,1,57,100.0,2,3.0,0,0.0,-,0,
875,159,Winton Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
876,159,Winton Hospital,2022-09-01,2,0,,0,0,,0,,0,,-,0,
877,159,Winton Hospital,2022-09-01,3,19,5.0,1,16,84.0,0,0.0,2,11.0,-,1,50.0
878,159,Winton Hospital,2022-09-01,4,22,1.0,1,19,90.0,0,0.0,0,0.0,-,0,
879,159,Winton Hospital,2022-09-01,5,9,1.0,0,8,100.0,0,0.0,1,11.0,-,1,100.0
880,171,Clermont Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
881,171,Clermont Hospital,2022-09-01,2,8,0.0,0,7,88.0,0,0.0,4,50.0,-,3,75.0
882,171,Clermont Hospital,2022-09-01,3,55,0.0,1,50,91.0,0,0.0,7,13.0,-,6,86.0
883,171,Clermont Hospital,2022-09-01,4,128,0.0,1,122,98.0,0,0.0,3,2.0,-,3,100.0
884,171,Clermont Hospital,2022-09-01,5,72,0.0,1,55,100.0,1,1.0,0,0.0,-,0,
885,172,Mackay Base Hospital,2022-09-01,1,11,0.0,1,11,100.0,0,0.0,10,91.0,-,2,20.0
886,172,Mackay Base Hospital,2022-09-01,2,418,9.0,1,403,97.0,3,1.0,214,51.0,-,46,22.0
887,172,Mackay Base Hospital,2022-09-01,3,1456,19.0,1,1044,76.0,78,5.0,249,17.0,-,33,13.0
888,172,Mackay Base Hospital,2022-09-01,4,666,26.0,2,544,88.0,48,7.0,26,4.0,-,4,15.0
889,172,Mackay Base Hospital,2022-09-01,5,54,18.0,1,49,100.0,4,7.0,0,0.0,-,0,
890,173,Moranbah Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
891,173,Moranbah Hospital,2022-09-01,2,13,0.0,1,12,100.0,1,8.0,4,31.0,-,3,75.0
892,173,Moranbah Hospital,2022-09-01,3,100,0.0,1,97,99.0,2,2.0,8,8.0,-,8,100.0
893,173,Moranbah Hospital,2022-09-01,4,207,0.0,1,198,99.0,4,2.0,1,0.0,-,1,100.0
894,173,Moranbah Hospital,2022-09-01,5,65,0.0,1,52,100.0,1,2.0,0,0.0,-,0,
895,174,Proserpine Hospital,2022-09-01,1,2,1.0,0,2,100.0,0,0.0,2,100.0,-,0,0.0
896,174,Proserpine Hospital,2022-09-01,2,50,4.0,1,46,92.0,0,0.0,15,30.0,-,9,60.0
897,174,Proserpine Hospital,2022-09-01,3,349,12.0,1,288,84.0,6,2.0,21,6.0,-,8,38.0
898,174,Proserpine Hospital,2022-09-01,4,474,17.0,1,390,86.0,17,4.0,4,1.0,-,1,25.0
899,174,Proserpine Hospital,2022-09-01,5,102,14.0,1,81,92.0,12,12.0,0,0.0,-,0,
900,175,Sarina Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
901,175,Sarina Hospital,2022-09-01,2,16,0.0,1,14,88.0,0,0.0,0,0.0,-,0,
902,175,Sarina Hospital,2022-09-01,3,109,5.0,1,96,91.0,0,0.0,0,0.0,-,0,
903,175,Sarina Hospital,2022-09-01,4,142,5.0,1,123,98.0,0,0.0,1,1.0,-,1,100.0
904,175,Sarina Hospital,2022-09-01,5,41,10.0,1,32,100.0,1,2.0,0,0.0,-,0,
905,176,Dysart Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
906,176,Dysart Hospital,2022-09-01,2,11,0.0,1,11,100.0,0,0.0,3,27.0,-,2,67.0
907,176,Dysart Hospital,2022-09-01,3,30,0.0,1,30,100.0,0,0.0,5,17.0,-,5,100.0
908,176,Dysart Hospital,2022-09-01,4,61,0.0,1,60,98.0,0,0.0,2,3.0,-,2,100.0
909,176,Dysart Hospital,2022-09-01,5,9,0.0,0,8,100.0,1,11.0,0,0.0,-,0,
910,191,Ayr Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
911,191,Ayr Hospital,2022-09-01,2,18,0.0,1,17,94.0,0,0.0,6,33.0,-,4,67.0
912,191,Ayr Hospital,2022-09-01,3,139,0.0,1,126,91.0,1,1.0,5,4.0,-,2,40.0
913,191,Ayr Hospital,2022-09-01,4,369,0.0,1,346,97.0,7,2.0,1,0.0,-,1,100.0
914,191,Ayr Hospital,2022-09-01,5,58,0.0,1,48,100.0,7,12.0,0,0.0,-,0,
915,192,Bowen Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
916,192,Bowen Hospital,2022-09-01,2,23,0.0,1,21,91.0,0,0.0,2,9.0,-,0,0.0
917,192,Bowen Hospital,2022-09-01,3,154,0.0,1,132,90.0,4,3.0,3,2.0,-,1,33.0
918,192,Bowen Hospital,2022-09-01,4,376,0.0,1,327,96.0,20,5.0,4,1.0,-,3,75.0
919,192,Bowen Hospital,2022-09-01,5,27,0.0,1,19,95.0,3,11.0,0,0.0,-,0,
920,193,Charters Towers Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
921,193,Charters Towers Hospital,2022-09-01,2,20,0.0,1,18,90.0,0,0.0,3,15.0,-,3,100.0
922,193,Charters Towers Hospital,2022-09-01,3,101,8.0,1,90,91.0,1,1.0,9,9.0,-,9,100.0
923,193,Charters Towers Hospital,2022-09-01,4,238,12.0,1,219,94.0,4,2.0,5,2.0,-,5,100.0
924,193,Charters Towers Hospital,2022-09-01,5,88,10.0,1,80,100.0,2,2.0,1,1.0,-,1,100.0
925,196,Ingham Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
926,196,Ingham Hospital,2022-09-01,2,12,0.0,1,12,100.0,0,0.0,5,42.0,-,5,100.0
927,196,Ingham Hospital,2022-09-01,3,106,0.0,1,94,90.0,1,1.0,10,9.0,-,10,100.0
928,196,Ingham Hospital,2022-09-01,4,201,10.0,1,175,90.0,3,1.0,4,2.0,-,4,100.0
929,196,Ingham Hospital,2022-09-01,5,46,5.0,1,34,100.0,1,2.0,0,0.0,-,0,
930,197,Joyce Palmer Health Service,2022-09-01,1,0,,0,0,,0,,0,,-,0,
931,197,Joyce Palmer Health Service,2022-09-01,2,14,0.0,1,13,93.0,0,0.0,3,21.0,-,3,100.0
932,197,Joyce Palmer Health Service,2022-09-01,3,212,3.0,1,193,95.0,6,3.0,22,10.0,-,20,91.0
933,197,Joyce Palmer Health Service,2022-09-01,4,60,2.0,1,54,98.0,4,7.0,1,2.0,-,1,100.0
934,197,Joyce Palmer Health Service,2022-09-01,5,34,4.0,1,29,100.0,2,6.0,1,3.0,-,0,0.0
935,200,Townsville University Hospital,2022-09-01,1,33,0.0,1,33,100.0,0,0.0,26,79.0,-,19,73.0
936,200,Townsville University Hospital,2022-09-01,2,528,1.0,1,471,90.0,0,0.0,229,43.0,-,103,45.0
937,200,Townsville University Hospital,2022-09-01,3,2376,15.0,1,1715,75.0,71,3.0,376,16.0,-,132,35.0
938,200,Townsville University Hospital,2022-09-01,4,1697,22.0,1,1357,84.0,81,5.0,116,7.0,-,50,43.0
939,200,Townsville University Hospital,2022-09-01,5,86,31.0,3,74,94.0,4,5.0,2,2.0,-,1,50.0
940,201,Royal Brisbane & Women's Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
941,201,Royal Brisbane & Women's Hospital,2022-09-01,2,23,8.0,1,13,57.0,0,0.0,1,4.0,-,1,100.0
942,201,Royal Brisbane & Women's Hospital,2022-09-01,3,65,16.0,1,53,84.0,1,2.0,4,6.0,-,3,75.0
943,201,Royal Brisbane & Women's Hospital,2022-09-01,4,34,20.0,1,30,91.0,1,3.0,0,0.0,-,0,
944,201,Royal Brisbane & Women's Hospital,2022-09-01,5,10,23.0,2,10,100.0,0,0.0,0,0.0,-,0,
945,202,Queensland Children's Hospital,2022-09-01,1,85,1.0,1,85,100.0,0,0.0,77,91.0,-,34,44.0
946,202,Queensland Children's Hospital,2022-09-01,2,2480,7.0,1,2149,87.0,0,0.0,1588,64.0,-,779,49.0
947,202,Queensland Children's Hospital,2022-09-01,3,6627,16.0,1,4505,70.0,133,2.0,1982,30.0,-,579,29.0
948,202,Queensland Children's Hospital,2022-09-01,4,9034,20.0,1,6474,80.0,493,5.0,934,10.0,-,239,26.0
949,202,Queensland Children's Hospital,2022-09-01,5,1502,26.0,2,1115,91.0,92,6.0,74,5.0,-,40,54.0
950,211,Atherton Hospital,2022-09-01,1,3,0.0,0,3,100.0,0,0.0,0,0.0,-,0,
951,211,Atherton Hospital,2022-09-01,2,39,6.0,1,34,89.0,1,3.0,7,18.0,-,1,14.0
952,211,Atherton Hospital,2022-09-01,3,238,31.0,3,115,49.0,5,2.0,17,7.0,-,7,41.0
953,211,Atherton Hospital,2022-09-01,4,396,45.0,3,199,57.0,47,12.0,4,1.0,-,2,50.0
954,211,Atherton Hospital,2022-09-01,5,55,30.0,2,38,84.0,5,9.0,0,0.0,-,0,
955,212,Babinda Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
956,212,Babinda Hospital,2022-09-01,2,5,0.0,0,5,100.0,0,0.0,0,0.0,-,0,
957,212,Babinda Hospital,2022-09-01,3,20,0.0,1,20,100.0,0,0.0,0,0.0,-,0,
958,212,Babinda Hospital,2022-09-01,4,70,0.0,1,64,100.0,4,6.0,0,0.0,-,0,
959,212,Babinda Hospital,2022-09-01,5,37,0.0,1,30,97.0,2,5.0,1,3.0,-,1,100.0
960,213,Bamaga Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
961,213,Bamaga Hospital,2022-09-01,2,31,3.0,1,24,80.0,0,0.0,10,32.0,-,10,100.0
962,213,Bamaga Hospital,2022-09-01,3,115,10.0,1,100,91.0,1,1.0,18,16.0,-,18,100.0
963,213,Bamaga Hospital,2022-09-01,4,219,16.0,1,194,92.0,5,2.0,2,1.0,-,2,100.0
964,213,Bamaga Hospital,2022-09-01,5,53,12.0,1,45,100.0,2,4.0,0,0.0,-,0,
965,214,Cairns Hospital,2022-09-01,1,43,0.0,1,42,100.0,0,0.0,31,72.0,-,13,42.0
966,214,Cairns Hospital,2022-09-01,2,530,9.0,1,313,59.0,0,0.0,257,48.0,-,49,19.0
967,214,Cairns Hospital,2022-09-01,3,2068,17.0,1,1396,70.0,67,3.0,404,20.0,-,84,21.0
968,214,Cairns Hospital,2022-09-01,4,1485,22.0,1,1133,80.0,69,5.0,120,8.0,-,39,33.0
969,214,Cairns Hospital,2022-09-01,5,134,17.0,1,124,97.0,4,3.0,4,3.0,-,2,50.0
970,216,Cooktown Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
971,216,Cooktown Hospital,2022-09-01,2,31,2.0,1,26,84.0,0,0.0,14,45.0,-,14,100.0
972,216,Cooktown Hospital,2022-09-01,3,58,7.0,1,46,81.0,1,2.0,16,28.0,-,15,94.0
973,216,Cooktown Hospital,2022-09-01,4,143,19.0,1,119,88.0,3,2.0,3,2.0,-,3,100.0
974,216,Cooktown Hospital,2022-09-01,5,73,26.0,2,60,98.0,5,7.0,1,1.0,-,1,100.0
975,222,Innisfail Hospital,2022-09-01,1,2,4.0,0,1,50.0,0,0.0,1,50.0,-,0,0.0
976,222,Innisfail Hospital,2022-09-01,2,36,5.0,1,28,78.0,0,0.0,14,39.0,-,9,64.0
977,222,Innisfail Hospital,2022-09-01,3,149,28.0,2,78,54.0,4,3.0,17,11.0,-,12,71.0
978,222,Innisfail Hospital,2022-09-01,4,396,54.0,3,189,56.0,50,13.0,15,4.0,-,10,67.0
979,222,Innisfail Hospital,2022-09-01,5,111,69.0,3,66,80.0,16,14.0,7,6.0,-,7,100.0
980,223,Mareeba Hospital,2022-09-01,1,11,0.0,1,11,100.0,0,0.0,5,45.0,-,4,80.0
981,223,Mareeba Hospital,2022-09-01,2,92,7.0,1,60,65.0,0,0.0,28,30.0,-,13,46.0
982,223,Mareeba Hospital,2022-09-01,3,295,18.0,1,222,76.0,1,0.0,30,10.0,-,13,43.0
983,223,Mareeba Hospital,2022-09-01,4,472,25.0,2,347,77.0,13,3.0,5,1.0,-,2,40.0
984,223,Mareeba Hospital,2022-09-01,5,202,22.0,1,160,96.0,11,5.0,0,0.0,-,0,
985,224,Mossman Hospital,2022-09-01,1,6,0.0,0,6,100.0,0,0.0,1,17.0,-,1,100.0
986,224,Mossman Hospital,2022-09-01,2,29,8.0,1,16,55.0,0,0.0,9,31.0,-,1,11.0
987,224,Mossman Hospital,2022-09-01,3,165,27.0,2,94,60.0,8,5.0,15,9.0,-,5,33.0
988,224,Mossman Hospital,2022-09-01,4,242,47.0,3,124,57.0,24,10.0,6,2.0,-,4,67.0
989,224,Mossman Hospital,2022-09-01,5,104,52.0,3,61,85.0,10,10.0,1,1.0,-,0,0.0
990,226,Thursday Island Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
991,226,Thursday Island Hospital,2022-09-01,2,28,2.0,1,27,96.0,0,0.0,7,25.0,-,5,71.0
992,226,Thursday Island Hospital,2022-09-01,3,63,6.0,1,59,95.0,1,2.0,17,27.0,-,13,76.0
993,226,Thursday Island Hospital,2022-09-01,4,153,10.0,1,141,98.0,2,1.0,8,5.0,-,7,88.0
994,226,Thursday Island Hospital,2022-09-01,5,90,5.0,1,71,100.0,2,2.0,2,2.0,-,2,100.0
995,227,Tully Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,0,0.0
996,227,Tully Hospital,2022-09-01,2,20,0.0,1,17,85.0,0,0.0,3,15.0,-,0,0.0
997,227,Tully Hospital,2022-09-01,3,109,0.0,1,89,86.0,5,5.0,10,9.0,-,6,60.0
998,227,Tully Hospital,2022-09-01,4,232,0.0,1,184,86.0,9,4.0,5,2.0,-,4,80.0
999,227,Tully Hospital,2022-09-01,5,27,18.0,1,14,100.0,4,15.0,0,0.0,-,0,
1000,228,Weipa Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,1,100.0,-,1,100.0
1001,228,Weipa Hospital,2022-09-01,2,23,2.0,1,21,91.0,0,0.0,14,61.0,-,13,93.0
1002,228,Weipa Hospital,2022-09-01,3,106,13.0,1,85,81.0,1,1.0,32,30.0,-,31,97.0
1003,228,Weipa Hospital,2022-09-01,4,253,28.0,2,174,75.0,16,6.0,13,5.0,-,12,92.0
1004,228,Weipa Hospital,2022-09-01,5,136,39.0,3,99,89.0,10,7.0,2,1.0,-,2,100.0
1005,243,Cloncurry Hospital,2022-09-01,1,2,0.0,0,2,100.0,0,0.0,0,0.0,-,0,
1006,243,Cloncurry Hospital,2022-09-01,2,7,1.0,0,7,100.0,0,0.0,4,57.0,-,3,75.0
1007,243,Cloncurry Hospital,2022-09-01,3,30,14.0,1,26,90.0,0,0.0,1,3.0,-,1,100.0
1008,243,Cloncurry Hospital,2022-09-01,4,75,11.0,1,63,91.0,1,1.0,2,3.0,-,2,100.0
1009,243,Cloncurry Hospital,2022-09-01,5,49,15.0,1,44,100.0,3,6.0,1,2.0,-,1,100.0
1010,245,Julia Creek Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
1011,245,Julia Creek Hospital,2022-09-01,2,3,0.0,0,3,100.0,0,0.0,0,0.0,-,0,
1012,245,Julia Creek Hospital,2022-09-01,3,21,5.0,1,19,90.0,0,0.0,0,0.0,-,0,
1013,245,Julia Creek Hospital,2022-09-01,4,13,2.0,1,12,92.0,0,0.0,0,0.0,-,0,
1014,245,Julia Creek Hospital,2022-09-01,5,2,1.0,0,2,100.0,0,0.0,0,0.0,-,0,
1015,246,Mount Isa Base Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
1016,246,Mount Isa Base Hospital,2022-09-01,2,119,7.0,1,89,75.0,0,0.0,55,46.0,-,28,51.0
1017,246,Mount Isa Base Hospital,2022-09-01,3,632,20.0,1,385,64.0,16,3.0,103,16.0,-,37,36.0
1018,246,Mount Isa Base Hospital,2022-09-01,4,689,31.0,3,415,71.0,62,9.0,23,3.0,-,16,70.0
1019,246,Mount Isa Base Hospital,2022-09-01,5,24,24.0,2,16,94.0,4,17.0,0,0.0,-,0,
1020,247,Normanton Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
1021,247,Normanton Hospital,2022-09-01,2,8,0.0,0,8,100.0,0,0.0,2,25.0,-,2,100.0
1022,247,Normanton Hospital,2022-09-01,3,59,0.0,1,57,98.0,0,0.0,6,10.0,-,6,100.0
1023,247,Normanton Hospital,2022-09-01,4,37,0.0,1,27,100.0,1,3.0,3,8.0,-,3,100.0
1024,247,Normanton Hospital,2022-09-01,5,18,3.0,1,10,100.0,1,6.0,0,0.0,-,0,
1025,249,Mornington Island Hospital,2022-09-01,1,0,,0,0,,0,,0,,-,0,
1026,249,Mornington Island Hospital,2022-09-01,2,5,0.0,0,5,100.0,0,0.0,1,20.0,-,1,100.0
1027,249,Mornington Island Hospital,2022-09-01,3,82,4.0,1,78,98.0,1,1.0,0,0.0,-,0,
1028,249,Mornington Island Hospital,2022-09-01,4,96,6.0,1,90,99.0,0,0.0,0,0.0,-,0,
1029,249,Mornington Island Hospital,2022-09-01,5,17,5.0,1,15,100.0,0,0.0,0,0.0,-,0,
1030,252,Doomadgee Hospital,2022-09-01,1,1,0.0,0,1,100.0,0,0.0,0,0.0,-,0,
1031,252,Doomadgee Hospital,2022-09-01,2,12,0.0,1,10,83.0,0,0.0,1,8.0,-,1,100.0
1032,252,Doomadgee Hospital,2022-09-01,3,147,5.0,1,119,91.0,8,5.0,11,7.0,-,8,73.0
1033,252,Doomadgee Hospital,2022-09-01,4,296,8.0,1,238,93.0,17,6.0,0,0.0,-,0,
1034,252,Doomadgee Hospital,2022-09-01,5,92,10.0,1,56,100.0,6,7.0,0,0.0,-,0,
1035,934,Robina Hospital,2022-09-01,1,9,1.0,0,9,100.0,0,0.0,4,44.0,-,3,75.0
1036,934,Robina Hospital,2022-09-01,2,243,11.0,1,110,46.0,1,0.0,40,16.0,-,31,78.0
1037,934,Robina Hospital,2022-09-01,3,1008,15.0,1,751,79.0,51,5.0,65,6.0,-,34,52.0
1038,934,Robina Hospital,2022-09-01,4,598,17.0,1,466,84.0,44,7.0,10,2.0,-,5,50.0
1039,934,Robina Hospital,2022-09-01,5,32,13.0,1,31,100.0,1,3.0,0,0.0,-,0,
1040,936,Gold Coast University Hospital,2022-09-01,1,35,1.0,1,35,100.0,0,0.0,30,86.0,-,17,57.0
1041,936,Gold Coast University Hospital,2022-09-01,2,1303,10.0,1,680,53.0,6,0.0,578,44.0,-,240,42.0
1042,936,Gold Coast University Hospital,2022-09-01,3,3986,18.0,1,2411,64.0,238,6.0,1095,27.0,-,516,47.0
1043,936,Gold Coast University Hospital,2022-09-01,4,2023,20.0,1,1505,81.0,163,8.0,163,8.0,-,70,43.0
1044,936,Gold Coast University Hospital,2022-09-01,5,88,28.0,2,74,95.0,10,11.0,3,3.0,-,1,33.0
1045,99999,Queensland,2022-09-01,1,478,0.0,1,475,100.0,0,0.0,315,66.0,-,155,49.0
1046,99999,Queensland,2022-09-01,2,14890,8.0,1,9859,67.0,33,0.0,6852,46.0,-,3252,47.0
1047,99999,Queensland,2022-09-01,3,51065,20.0,1,32005,65.0,1713,3.0,10046,20.0,-,4043,40.0
1048,99999,Queensland,2022-09-01,4,47579,21.0,1,34567,79.0,2647,6.0,2618,6.0,-,1017,39.0
1049,99999,Queensland,2022-09-01,5,7284,15.0,1,5772,94.0,431,6.0,160,2.0,-,107,67.0
1050,4,The Prince Charles Hospital,2022-06-01,1,24,0.0,1,24,100.0,0,0.0,16,66.67,-,7,43.75
1051,4,The Prince Charles Hospital,2022-06-01,2,1342,6.0,1,1140,85.07,1,0.07,627,46.72,-,410,65.39
1052,4,The Prince Charles Hospital,2022-06-01,3,2536,42.0,3,962,38.88,58,2.29,545,21.49,-,272,49.91
1053,4,The Prince Charles Hospital,2022-06-01,4,5532,55.0,3,2793,53.64,320,5.78,224,4.05,-,84,37.5
1054,4,The Prince Charles Hospital,2022-06-01,5,537,46.5,3,421,86.63,43,8.01,13,2.42,-,12,92.31
1055,11,Princess Alexandra Hospital,2022-06-01,1,1,1.0,0,1,100.0,0,0.0,0,0.0,-,0,
1056,11,Princess Alexandra Hospital,2022-06-01,2,10,8.0,1,7,70.0,0,0.0,0,0.0,-,0,
1057,11,Princess Alexandra Hospital,2022-06-01,3,28,10.0,1,24,85.71,0,0.0,0,0.0,-,0,
1058,11,Princess Alexandra Hospital,2022-06-01,4,16,14.5,1,16,100.0,0,0.0,0,0.0,-,0,
1059,11,Princess Alexandra Hospital,2022-06-01,5,2,17.0,0,2,100.0,0,0.0,0,0.0,-,0,
1060,15,Ipswich Hospital,2022-06-01,1,18,1.0,1,18,100.0,0,0.0,15,83.33,-,3,20.0
1061,15,Ipswich Hospital,2022-06-01,2,1030,15.0,1,335,32.75,7,0.68,580,56.31,-,303,52.24
1062,15,Ipswich Hospital,2022-06-01,3,2767,38.0,3,1030,38.42,85,3.07,754,27.25,-,402,53.32
1063,15,Ipswich Hospital,2022-06-01,4,1044,39.0,3,659,66.16,48,4.6,106,10.15,-,50,47.17
1064,15,Ipswich Hospital,2022-06-01,5,98,34.0,3,81,88.04,6,6.12,4,4.08,-,1,25.0
1065,16,Redcliffe Hospital,2022-06-01,1,11,0.0,1,11,100.0,0,0.0,6,54.55,-,1,16.67
1066,16,Redcliffe Hospital,2022-06-01,2,455,7.0,1,319,70.11,0,0.0,182,40.0,-,32,17.58
1067,16,Redcliffe Hospital,2022-06-01,3,1647,35.0,3,682,45.74,155,9.41,169,10.26,-,15,8.88
1068,16,Redcliffe Hospital,2022-06-01,4,1075,46.0,3,553,58.7,127,11.81,47,4.37,-,5,10.64
1069,16,Redcliffe Hospital,2022-06-01,5,114,61.0,3,75,75.0,13,11.4,2,1.75,-,0,0.0
1070,22,Queen Elizabeth II Jubilee Hospital,2022-06-01,1,1,1.0,0,1,100.0,0,0.0,0,0.0,-,0,
1071,22,Queen Elizabeth II Jubilee Hospital,2022-06-01,2,198,8.0,1,141,71.21,0,0.0,9,4.55,-,8,88.89
1072,22,Queen Elizabeth II Jubilee Hospital,2022-06-01,3,537,32.0,3,242,48.69,40,7.45,7,1.3,-,3,42.86
1073,22,Queen Elizabeth II Jubilee Hospital,2022-06-01,4,376,49.0,3,205,58.57,23,6.12,1,0.27,-,0,0.0
1074,22,Queen Elizabeth II Jubilee Hospital,2022-06-01,5,17,14.0,1,13,92.86,3,17.65,0,0.0,-,0,
1075,28,Redland Hospital,2022-06-01,1,4,0.5,0,4,100.0,0,0.0,2,50.0,-,0,0.0
1076,28,Redland Hospital,2022-06-01,2,684,11.0,1,317,46.41,1,0.15,252,36.84,-,125,49.6
1077,28,Redland Hospital,2022-06-01,3,2143,24.0,2,1173,58.47,136,6.35,289,13.49,-,100,34.6
1078,28,Redland Hospital,2022-06-01,4,1023,19.0,1,764,80.08,67,6.55,27,2.64,-,11,40.74
1079,28,Redland Hospital,2022-06-01,5,79,18.0,1,73,96.05,2,2.53,1,1.27,-,0,0.0
1080,29,Logan Hospital,2022-06-01,1,26,0.0,1,26,100.0,0,0.0,12,46.15,-,5,41.67
1081,29,Logan Hospital,2022-06-01,2,1705,11.0,1,830,48.74,2,0.12,830,48.68,-,490,59.04
1082,29,Logan Hospital,2022-06-01,3,4497,26.0,2,2394,55.91,214,4.76,1094,24.33,-,566,51.74
1083,29,Logan Hospital,2022-06-01,4,1961,26.0,2,1415,77.58,137,6.99,151,7.7,-,77,50.99
1084,29,Logan Hospital,2022-06-01,5,234,22.0,1,198,92.09,19,8.12,11,4.7,-,11,100.0
1085,30,Caboolture Hospital,2022-06-01,1,11,0.0,1,11,100.0,0,0.0,7,63.64,-,3,42.86
1086,30,Caboolture Hospital,2022-06-01,2,528,8.0,1,336,64.24,5,0.95,168,31.82,-,34,20.24
1087,30,Caboolture Hospital,2022-06-01,3,2129,28.0,2,1055,53.36,150,7.05,267,12.54,-,22,8.24
1088,30,Caboolture Hospital,2022-06-01,4,784,30.0,2,515,74.1,81,10.33,16,2.04,-,6,37.5
1089,30,Caboolture Hospital,2022-06-01,5,49,28.0,2,35,85.37,1,2.04,0,0.0,-,0,
1090,32,Sunshine Coast University Hospital,2022-06-01,1,27,0.0,1,27,100.0,0,0.0,23,85.19,-,13,56.52
1091,32,Sunshine Coast University Hospital,2022-06-01,2,760,9.0,1,441,58.1,0,0.0,410,53.95,-,232,56.59
1092,32,Sunshine Coast University Hospital,2022-06-01,3,2895,22.0,1,1820,63.7,36,1.24,887,30.64,-,468,52.76
1093,32,Sunshine Coast University Hospital,2022-06-01,4,1713,27.5,2,1319,80.13,62,3.62,201,11.73,-,111,55.22
1094,32,Sunshine Coast University Hospital,2022-06-01,5,149,22.0,1,138,97.18,5,3.36,8,5.37,-,6,75.0
1095,41,Beaudesert Hospital,2022-06-01,1,3,1.0,0,3,100.0,0,0.0,0,0.0,-,0,
1096,41,Beaudesert Hospital,2022-06-01,2,92,7.0,1,62,68.13,1,1.09,2,2.17,-,0,0.0
1097,41,Beaudesert Hospital,2022-06-01,3,369,9.0,1,338,93.37,7,1.9,0,0.0,-,0,
1098,41,Beaudesert Hospital,2022-06-01,4,535,8.0,1,506,98.06,19,3.55,1,0.19,-,0,0.0
1099,41,Beaudesert Hospital,2022-06-01,5,65,5.0,1,61,100.0,4,6.15,0,0.0,-,0,
1100,42,Boonah Hospital,2022-06-01,1,4,0.0,0,4,100.0,0,0.0,0,0.0,-,0,
1101,42,Boonah Hospital,2022-06-01,2,20,0.0,1,19,95.0,0,0.0,1,5.0,-,1,100.0
1102,42,Boonah Hospital,2022-06-01,3,69,0.0,1,67,97.1,0,0.0,0,0.0,-,0,
1103,42,Boonah Hospital,2022-06-01,4,87,0.0,1,84,97.67,0,0.0,0,0.0,-,0,
1104,42,Boonah Hospital,2022-06-01,5,15,0.0,1,12,100.0,0,0.0,0,0.0,-,0,
1105,43,Caloundra Hospital,2022-06-01,1,0,,0,0,,0,,0,,-,0,
1106,43,Caloundra Hospital,2022-06-01,2,22,6.0,1,18,81.82,0,0.0,0,0.0,-,0,
1107,43,Caloundra Hospital,2022-06-01,3,168,18.0,1,132,79.04,0,0.0,0,0.0,-,0,
1108,43,Caloundra Hospital,2022-06-01,4,980,34.0,3,621,71.63,20,2.04,0,0.0,-,0,
1109,43,Caloundra Hospital,2022-06-01,5,258,24.0,2,207,97.18,8,3.1,0,0.0,-,0,
